institution,peer_group,publication_year,records,median_percentile,mean_fwci_style_ratio,top10_share,open_access_share,international_share,is_uea
University of Southampton,Russell Group,2021,4703,49.6,1.0921024877737615,0.10355092494152668,0.7484584307888582,0.6210929194131406,False
University of Southampton,Russell Group,2022,4333,51.7,1.0493544888068314,0.11100853911839373,0.7832910223863374,0.6397415185783522,False
University of Southampton,Russell Group,2023,4408,50.6,1.1019553085299456,0.10322141560798548,0.8273593466424682,0.6551724137931034,False
University of Southampton,Russell Group,2024,4300,51.9,1.0251618604651163,0.10511627906976745,0.8323255813953488,0.65,False
University of Warwick,Russell Group,2015,3089,53.3,1.1169482033020395,0.10521204273227582,0.5700874069278083,0.49757202978310133,False
University of Warwick,Russell Group,2016,3323,51.7,1.0913647306650618,0.091784532049353,0.6322600060186578,0.4986458019861571,False
University of Warwick,Russell Group,2017,3434,51.1,1.0378832265579498,0.08998252766453116,0.6584158415841584,0.5297029702970297,False
University of Warwick,Russell Group,2018,3447,52.0,1.1075697708152017,0.10501885697708152,0.6573832317957644,0.5483028720626631,False
University of Warwick,Russell Group,2019,3561,51.8,0.9706270710474585,0.08677337826453244,0.6290367874192643,0.5520921089581579,False
University of Warwick,Russell Group,2020,3942,50.2,0.8972681380010147,0.09233891425672247,0.6864535768645358,0.5745814307458144,False
University of Warwick,Russell Group,2021,3784,52.1,1.0021966173361523,0.10015856236786469,0.7259513742071881,0.5991014799154334,False
University of Warwick,Russell Group,2022,3872,52.2,1.1600170454545455,0.11131198347107438,0.7629132231404959,0.6118285123966942,False
University of Warwick,Russell Group,2023,3874,49.0,0.9708928755807951,0.10041300980898296,0.8156943727413526,0.6179659266907589,False
University of Warwick,Russell Group,2024,4024,45.1,0.9307271371769384,0.08449304174950298,0.8044234592445328,0.5897117296222664,False
University of York,Russell Group,2015,2140,50.3,1.1046242990654207,0.09252336448598131,0.5672897196261683,0.4481308411214953,False
University of York,Russell Group,2016,2207,51.6,1.1002437698232894,0.08427729950158587,0.653375623017671,0.4902582691436339,False
University of York,Russell Group,2017,2320,50.55,1.020451724137931,0.09827586206896552,0.6827586206896552,0.525,False
University of York,Russell Group,2018,2360,51.05,1.5030088983050849,0.10338983050847457,0.713135593220339,0.5228813559322034,False
University of York,Russell Group,2019,2505,51.1,0.9642039920159681,0.1029940119760479,0.7105788423153693,0.5449101796407185,False
University of York,Russell Group,2020,2728,50.150000000000006,0.9625355571847507,0.09347507331378299,0.7452346041055719,0.5964076246334311,False
University of York,Russell Group,2021,2663,52.2,1.2428336462636125,0.10439354111903867,0.7671798723244461,0.5959444235824258,False
University of York,Russell Group,2022,2653,51.2,1.0009012438748586,0.08820203543158689,0.8002261590652092,0.5872597059932152,False
University of York,Russell Group,2023,2737,50.3,0.9032243332115455,0.0803799780781878,0.8560467665327001,0.5732553891121666,False
University of York,Russell Group,2024,2746,48.05,0.9057246904588492,0.0797523670793882,0.8638018936635106,0.5753823743627094,False
